红色食品,是否含防腐剂,否
红色食品,标签,非科学
红色食品,标签,生活
亚健康,标签,生活
萝卜腿,标签,生活
贡丸,主要食材,猪肉
贡丸,标签,科学
贡丸,标签,生活
免费域名,标签,生活
绿茶[茶叶品种],别称,苦茗
绿茶[茶叶品种],是否含防腐剂,否
绿茶[茶叶品种],标签,特产
馒头[中国传统食物],是否含防腐剂,否
馒头[中国传统食物],副作用,无
馒头[中国传统食物],储藏方法,冷藏
馒头[中国传统食物],发明地区,南方地区
馒头[中国传统食物],发明者,诸葛亮
馒头[中国传统食物],标签,生活
自动取款机[自动柜员机],标签,生活
脂肪[油性物质],标签,中国食品科学技术学会
脂肪[油性物质],标签,科学
脂肪[油性物质],标签,生活
果酸,标签,学科
果酸,标签,化妆品
果酸,标签,专有名词
第五类接触,标签,生活
diy,AA国际动漫,是
diy,标签,网站
diy,标签,社会
diy,标签,学科
婴儿肥,发生部位,脸部
婴儿肥,标签,生活
婴儿肥,标签,文化
仙人跳[用女色骗财的圈套],标签,生活
膳食纤维,标签,生活
拓展训练[户外培训],标签,社会
拓展训练[户外培训],标签,生活
碳酸氢钠,属性,化学试剂
碳酸氢钠,标签,科学
黑色家电,标签,生活用品
继发性,是否进入医保,否
继发性,标签,科学
继发性,标签,疾病
免抵退,标签,生活
非淡泊无以明志，非宁静无以致远,作者,诸葛亮
摩尼宝珠,标签,生活
噶乌,标签,生活
转经筒,标签,生活
五谷[食物],别称,五谷杂粮
五谷[食物],主要原料,无
五谷[食物],是否含防腐剂,否
五谷[食物],标签,自然
五谷[食物],标签,生活
五谷[食物],标签,小说
五谷[食物],标签,历史
校草,标签,生活
汤力水,别名,奎宁水
汤力水,标签,生活
天妇罗,英文名,tempura
天妇罗,分类,日本料理
天妇罗,口味,油炸食品
天妇罗,起源国,葡萄牙
天妇罗,标签,食品
天妇罗,标签,菜品
天妇罗,标签,小吃
味噌,储藏方法,冷藏
味噌,标签,食品
生粉,别称,淀粉
生粉,是否含防腐剂,否
生粉,适宜人群,全体
生粉,储藏方法,干燥
生粉,标签,生活
西米[棕榈树类的树干加工制成的可食用西米淀粉],外文名,sago
西米[棕榈树类的树干加工制成的可食用西米淀粉],是否含防腐剂,否
西米[棕榈树类的树干加工制成的可食用西米淀粉],标签,生活
酸牛奶,外文名,yogurt
酸牛奶,是否含防腐剂,是
酸牛奶,储藏方法,冷藏
太白粉,主要食材,马铃薯
太白粉,分类,马铃薯淀粉
太白粉,标签,食品
瑶柱,是否含防腐剂,否
瑶柱,标签,生活
玉兰片,标签,食品
智能手机,标签,生活
小灵通,标签,生活
羊羹[食品],是否含防腐剂,否
羊羹[食品],来源国,中国
羊羹[食品],标签,生活
云吞面[传统小吃],口味,爽脆
云吞面[传统小吃],标签,粤菜
云吞面[传统小吃],标签,生活
自助餐[国际上非正式的西式宴会],起源,西餐
自助餐[国际上非正式的西式宴会],别名,冷餐会
自助餐[国际上非正式的西式宴会],标签,食品
注册机,标签,生活
腌西瓜,别称,凉拌西瓜
腌西瓜,储藏方法,冷藏
腌西瓜,标签,生活
五谷杂粮,类别,粮食作物
五谷杂粮,添加剂,否
五谷杂粮,标签,语言
五谷杂粮,标签,书籍
梗米,别称,大米
梗米,标签,生活
燕窝[传统食品],是否含防腐剂,否
燕窝[传统食品],标签,菜品
燕窝[传统食品],标签,中药
天津三绝,属性,中华美食
天津三绝,社会影响,驰名中外
天津三绝,标签,生活
自旋量子数,标签,生活
四害,标签,生活
拔火罐,标签,生活
鼻渊,多发群体,所有人
过劳死[词语释义],是否进入医保,否
过劳死[词语释义],标签,社会
过劳死[词语释义],标签,疾病
过劳死[词语释义],标签,医学
白汤,标签,食品
白汤,标签,生活
白汤,标签,学科
白汤,标签,中药
超滤,标签,中国食品科学技术学会
超滤,标签,技术
仿生学,开始使用时间,1961年
仿生学,标签,科学
dvr,中文名,硬盘录像机
dvr,标签,生活
bbq[烧烤大会],标签,生活
冬虫夏草[麦角菌科真菌冬虫夏草菌中药],标签,中国食品科学技术学会
菠萝古老肉,中文名,菠萝咕咾肉
菠萝古老肉,标签,生活
西哈风,别名,嘻哈
西哈风,标签,食品
西哈风,标签,文化
西哈风,标签,品牌
茉莉花茶[茶叶吸收茉莉花香而制成的茶叶],茶叶分类,再加工茶
茉莉花茶[茶叶吸收茉莉花香而制成的茶叶],标签,特产
龙舌兰酒,标签,生活
原子能,标签,生活
前列腺炎,标签,生活
尿毒症,是否进入医保,是
疝气,标签,生活
玄关,外文名,hallway
