实体,属性,值
矢泽爱,国籍,日本
矢泽爱,出生地,兵库县
矢泽爱,职业,漫画家
矢泽爱,代表作品,《NANA》
矢泽爱,性别,女
安室奈美惠,国籍,日本
安室奈美惠,民族,琉球族
安室奈美惠,星座,处女座
安室奈美惠,血型,O型
安室奈美惠,出生日期,1977年9月20日
安室奈美惠,职业,歌手
安室奈美惠,职业,演员
安室奈美惠,经纪公司,VISION FACTORY
安室奈美惠,老师,小室哲哉
安室奈美惠,代表作品,Can You Celebrate
安室奈美惠,代表作品,BEST FICTION
安室奈美惠,主要作品,史上最大作弊战争
野村万斋,国籍,日本
野村万斋,民族,大和民族
野村万斋,星座,白羊座
野村万斋,身高,174
野村万斋,体重,58
野村万斋,职业,狂言师
野村万斋,代表作品,阴阳师
野村万斋,代表作品,乱
野村万斋,主要作品,傀儡之城
野村万斋,主要作品,阴阳师2
田口淳之介,国籍,日本
田口淳之介,民族,大和民族
田口淳之介,星座,射手座
田口淳之介,血型,AB型
田口淳之介,出生日期,1985年11月29日
田口淳之介,职业,歌手
田口淳之介,职业,演员
田口淳之介,代表作品,有闲俱乐部
田口淳之介,代表作品,今天不上班
田口淳之介,代表作品,LEGAL HIGH
上田龙也,国籍,日本
上田龙也,民族,大和族
上田龙也,星座,天秤座
上田龙也,血型,B型
上田龙也,职业,歌手
上田龙也,经纪公司,杰尼斯事务所
上田龙也,代表作品,敏行快跑
上田龙也,代表作品,Runaway～为了心爱的你
上田龙也,代表作品,结婚万岁
上田龙也,主要作品,新宿SEVEN
上田龙也,主要作品,史上最恶约会
上田龙也,主要作品,恐怖星期天
中丸雄一,别名,丸子
中丸雄一,国籍,日本
中丸雄一,星座,处女座
中丸雄一,血型,O型
中丸雄一,职业,歌手
中丸雄一,职业,演员
中丸雄一,毕业院校,早稻田大学
中丸雄一,经纪公司,杰尼斯事务所
矢野浩二,国籍,日本
矢野浩二,民族,大和
矢野浩二,星座,水瓶座
矢野浩二,出生地,大阪府
矢野浩二,主要作品,新宿SEVEN
小杉十郎太,国籍,日本
小杉十郎太,星座,射手座
小杉十郎太,血型,A型
小杉十郎太,出生日期,1957年12月19日
小杉十郎太,职业,声优
小杉十郎太,经纪公司,大泽事务所
小杉十郎太,代表作品,织田信长
小杉十郎太,代表作品,机动战士Z高达
小杉十郎太,代表作品,战国无双
宫崎骏,国籍,日本
宫崎骏,民族,大和
宫崎骏,职业,动画导演
宫崎骏,毕业院校,日本东京学习院大学
宫崎骏,血型,O型血
宫崎骏,星座,魔羯座
宫崎骏,儿子,宫崎吾朗
宫崎骏,儿子,宫崎敬介
宫崎骏,好友,久石让
宫崎骏,学生,庵野秀明
宫崎骏,代表作品,千与千寻
宫崎骏,代表作品,天空之城
宫崎骏,代表作品,幽灵公主
宫崎骏,代表作品,风之谷
宫崎骏,代表作品,龙猫
宫崎骏,代表作品,侧耳倾听
宫崎骏,代表作品,起风了
宫崎骏,代表作品,哈尔的移动城堡
宫崎骏,代表作品,红猪
泽尻绘里香,国籍,日本
泽尻绘里香,星座,白羊座
泽尻绘里香,血型,A型
泽尻绘里香,出生日期,1986年4月8日
泽尻绘里香,职业,演员
泽尻绘里香,职业,歌手
泽尻绘里香,职业,模特
泽尻绘里香,职业,主持人
泽尻绘里香,代表作品,无敌青春
泽尻绘里香,代表作品,一公升的眼泪
泽尻绘里香,代表作品,狼狈
泽尻绘里香,代表作品,太阳之歌
泽尻绘里香,前夫,高城刚
泽尻绘里香,前男友,松田翔太
泽尻绘里香,主要作品,拥抱猫咪
泽尻绘里香,主要作品,不能犯
泽尻绘里香,主要作品,新宿天鹅
泽尻绘里香,主要作品,尘封笔记本
泽尻绘里香,主要作品,信
泽尻绘里香,主要作品,天使之卵
泽尻绘里香,主要作品,天使的梯子
泽尻绘里香,主要作品,遗失物
泽尻绘里香,主要作品,风味绝佳
泽尻绘里香,主要作品,间宫兄弟
泽尻绘里香,主要作品,甲贺忍法帖
泽尻绘里香,主要作品,阿修罗城之瞳
泽尻绘里香,主要作品,没有问题的我们
泽尻绘里香,主要作品,成为母亲
泽尻绘里香,主要作品,失明的淑则老师～失去光明心可见～
泽尻绘里香,主要作品,大奥
泽尻绘里香,主要作品,欢迎来我家
泽尻绘里香,主要作品,FIRST CLASS 2
泽尻绘里香,主要作品,FIRST CLASS
